0,0,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,sales,low
1,1,SL4,LE4,NP5,AMH4,TSC6,WA0,L1,PL5Y0,sales,medium
2,2,SL1,LE5,NP7,AMH5,TSC4,WA0,L1,PL5Y0,sales,medium
3,3,SL4,LE4,NP5,AMH3,TSC5,WA0,L1,PL5Y0,sales,low
4,4,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,sales,low
5,5,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,sales,low
6,6,SL1,LE4,NP6,AMH4,TSC4,WA0,L1,PL5Y0,sales,low
7,7,SL5,LE4,NP5,AMH4,TSC5,WA0,L1,PL5Y0,sales,low
8,8,SL5,LE5,NP5,AMH3,TSC5,WA0,L1,PL5Y0,sales,low
9,9,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,sales,low
10,10,SL2,LE2,NP2,AMH1,TSC3,WA0,L1,PL5Y0,sales,low
11,11,SL1,LE4,NP6,AMH5,TSC4,WA0,L1,PL5Y0,sales,low
12,12,SL5,LE5,NP4,AMH4,TSC5,WA0,L1,PL5Y0,sales,low
13,13,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,sales,low
14,14,SL2,LE2,NP2,AMH1,TSC3,WA0,L1,PL5Y0,sales,low
15,15,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,sales,low
16,16,SL2,LE1,NP2,AMH2,TSC3,WA0,L1,PL5Y0,sales,low
17,17,SL4,LE5,NP4,AMH4,TSC6,WA0,L1,PL5Y0,sales,low
18,18,SL2,LE2,NP2,AMH2,TSC3,WA1,L1,PL5Y1,sales,low
19,19,SL4,LE5,NP5,AMH4,TSC5,WA0,L1,PL5Y0,sales,low
20,20,SL1,LE4,NP6,AMH5,TSC4,WA0,L1,PL5Y0,sales,low
21,21,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,sales,low
22,22,SL1,LE5,NP6,AMH5,TSC4,WA0,L1,PL5Y0,sales,low
23,23,SL3,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,sales,low
24,24,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,sales,low
25,25,SL5,LE5,NP5,AMH4,TSC5,WA0,L1,PL5Y0,sales,low
26,26,SL5,LE4,NP4,AMH4,TSC5,WA0,L1,PL5Y0,sales,low
27,27,SL2,LE2,NP2,AMH1,TSC3,WA0,L1,PL5Y0,sales,low
28,28,SL2,LE1,NP2,AMH1,TSC3,WA0,L1,PL5Y0,accounting,low
29,29,SL2,LE2,NP2,AMH1,TSC3,WA0,L1,PL5Y0,accounting,low
30,30,SL1,LE3,NP6,AMH5,TSC4,WA0,L1,PL5Y0,accounting,low
31,31,SL2,LE2,NP2,AMH1,TSC3,WA0,L1,PL5Y0,hr,low
32,32,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,hr,low
33,33,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,hr,low
34,34,SL5,LE4,NP4,AMH4,TSC6,WA0,L1,PL5Y0,hr,low
35,35,SL1,LE5,NP6,AMH4,TSC4,WA0,L1,PL5Y0,technical,low
36,36,SL2,LE1,NP2,AMH1,TSC3,WA0,L1,PL5Y0,technical,low
37,37,SL2,LE2,NP2,AMH1,TSC3,WA0,L1,PL5Y0,technical,low
38,38,SL1,LE5,NP6,AMH5,TSC4,WA0,L1,PL5Y0,technical,low
39,39,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,technical,low
40,40,SL5,LE5,NP5,AMH5,TSC5,WA0,L1,PL5Y0,technical,low
41,41,SL2,LE1,NP2,AMH2,TSC3,WA0,L1,PL5Y0,technical,low
42,42,SL2,LE1,NP2,AMH1,TSC3,WA0,L1,PL5Y0,technical,low
43,43,SL1,LE4,NP7,AMH5,TSC4,WA0,L1,PL5Y0,technical,low
44,44,SL1,LE5,NP6,AMH5,TSC4,WA0,L1,PL5Y0,technical,low
45,45,SL5,LE3,NP3,AMH3,TSC4,WA0,L1,PL5Y0,technical,low
46,46,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,support,low
47,47,SL3,LE3,NP3,AMH5,TSC6,WA0,L1,PL5Y0,support,low
48,48,SL2,LE2,NP2,AMH2,TSC3,WA0,L1,PL5Y0,support,low
49,49,SL2,LE1,NP2,AMH2,TSC3,WA0,L1,PL5Y0,support,low
50,50,SL1,LE4,NP6,AMH2,TSC2,WA0,L1,PL5Y0,support,low
